"ScenarioPlannerRouteName","RouteName","RouteAbbrev","ScenarioPlannerRouteString"
"SanFranSanJose","Peninsula Corridor","SFJ","/SanFranSanJose_Route_Gameplay/ScenarioDesigner/SFJ_ScenarioDesigner.SFJ_ScenarioDesigner"
"SandPatchGrade", "Sandpatch Grade","SPG","/SandPatchGrade/ScenarioDesigner/SDA_SandPatchGrade.SDA_SandPatchGrade"
"Bakerloo","Bakerloo Line","BKL","/Bakerloo_Route_Gameplay/ScenarioDesigner/BKR_SDA.BKR_SDA"
"DSN","Tees Valley Line","TVL","/DSN_Route_Gameplay/ScenarioDesigner/DSN_SDA.DSN_SDA"
"BrightonEastbourne","East Coast Way","ECW","/BrightonEastbourne_Route_Gameplay/ScenarioDesigner/ECW_ScenarioDesigner.ECW_ScenarioDesigner"
"LIRR","Long Island Railroad","LIRR","/LIRR/ScenarioDesigner/LIRR_SDA.LIRR_SDA"
"RuhrSiegNord","Ruhr-Sieg Nord","RSN","/RuhrSiegNord/ScenarioDesigner/RSN_SDA.RSN_SDA"
"KolnAachen","Schnellstrecke Köln-Aachen","SKA","/KolnAachen_Route_Gameplay/ScenarioDesigner/KAH_SDA.KAH_SDA"
"DuisburgBochum","Hauptstrecke Rhein-Ruhr","HRR","/DuisburgBochum_Route_Gameplay/ScenarioDesigner/NRM_ScenarioDesigner.NRM_ScenarioDesigner"
"Leipzig_S2_S-Bahn","Rapid transit","RT","/Leipzig_S2_S-Bahn/ScenarioDesigner/LS2ScenarioDesign.LS2ScenarioDesign"
"MainSpessartBahn","Main-Spessart Bahn","MSB","/MainSpessartBahn/ScenarioDesigner/MSBScenarioDesigner.MSBScenarioDesigner"
"WestSomerset","West Somerset Railway","WSR","/WestSomerset/ScenarioDesigner/WSR_SDA.WSR_SDA"
"PaddingtonReading","Great Western Express","GWE","/PaddingtonReading/ScenarioDesigner/GWE_SDA.GWE_SDA"
"Wuppertal","Rhein-Ruhr Osten","RRO","/Wuppertal_Route_Gameplay/ScenarioDesigner/WPH_SDA.WPH_SDA"
"LeedsManchester","Northern Transpennine","NTP","/LeedsManchester/ScenarioDesigner/NTP_SDA.NTP_SDA"
"IsleOfWight","Isle of Wight","IOW","/IsleOfWight_Route_Gameplay/ScenarioDesigner/IOW_SDA.IOW_SDA"
"MarseilleAvignon","LGV Marseille-Avingnon","LGV","/MarseilleAvignon_Route_Gameplay/ScenarioDesigner/LGV_SDA.LGV_SDA"
"TorontoIndustrial","Oakville Subdivision","OSD","/TorontoIndustrial_Route_Gameplay/ScenarioDesigner/TOR_SDA.TOR_SDA"
"LondonFaversham","Southeastern Highspeed","SEH","/LondonFaversham_Route_Gameplay/ScenarioDesigner/SEH_SDA.SEH_SDA"